
okte	okte+Adv
okte	oktet+V
oktonas	oktonas+A
olbmážat	olbmážat+N
olbmážat	olmmái+N
olggosoaidnit	olggos#oaidnit+V
olle	olle+G3
olle	ollet+V
olle	ollit+V
ollugat	ollugat+Pron
ovdalis	ovdalis+Adv
ovdalis	ovdalis+Po
ovddos	ovddos+Adv
ovtta	okta+Num
ovtta	ovtta+Adv
panihkka	panihkka+N
paradiijás	paradiijás+N
planehta	planehta+N
prevenšuvdna	prevenšuvdna+N
prinsa	prinsa+N
pusset	pusset+V
rabestit	rabestit+V
rasisma	rasisma+N
ravkkuhit	ravkkuhit+V
reaggut	reaggit+V
reaggut	reaggut+V
roakkas	roakkas+A
rokkastit	roggat+V
rokkastit	rokkastit+V
ruohkastit	ruohkastit+V
ruohkastit	ruohkkat+V
ruoškkehit	ruoškkehit+V
ruškkodahttit	ruškkodahttit+V
ruškkodahttit	ruškkodit+V
ráhki	ráhki+N
sealggabealde	sealgga#bealde+Adv
sealggabeallái	sealgga#bealle+N
sealggabeallái	sealgga#bealli+N
sealggabeallái	sealgga#beallái+Adv
seksualitehta	seksualitehta+N
sekunda	sekunda+N
sexa	sexa+N
siivvožit	siivvožit+Adv
siktet	siektat+V
siktet	siktet+V
sirdašuvvat	sirdašuvvat+V
sivdnideaddji	sivdnideaddji+N
sivdnideaddji	sivdnidit+V
skirri	skirri+N
skoalkalit	skoalkalit+V
skuvihit	skuvihit+V
skužisteaba	skužistit+V
snuđđut	snuđđat+V
snuđđut	snuđđut+V
sodji	sodji+N
sojaldahttit	sojaldahttit+V
spiiddistit	spiiddistit+V
stađuheapme	stađuheapme+A
stađđat	stađđat+V
stellet	stelle+N
stellet	stellet+N
stellet	stellet+V
streaŋga	streaŋga+A
streaŋga	streaŋga+N
stáhkkár	stáhkkár+N
suohtta	suohtta+N
suotnjat	suotnja+N
suotnjat	suotnjat+V
surgehit	surgehit+V
susttašit	susttašit+V
symfoniija	symfoniija+N
sáhkat	sáhka+N
sáhkat	sáhkat+A
sáhkat	sáhkat+V
sárggodit	sárggodit+V
sárggodit	sárgut+V
sáđđat	sáđđat+V
tennjet	tennjedit+V
tennjet	tennjet+N
tennjet	tennjet+V
tákta	tákta+N
tøffa	tøffa+A
uksabeallás	uksa#bealis+N
unohastit	unohastit+V
unohasvuohta	unohas+A
unohasvuohta	unohasvuohta+N
varranaga	varranaga+Adv
vašuhit	vašuhit+V
vašuhit	vaššu+N
veahkkái	veahkki+N
veahkkái	veahkkái+A
vearrábut	vearrábut+Adv
vearrábut	vearrái+A
velohallat	vealuhit+V
velohallat	velohallat+V
veránda	veránda+N
viegahit	viegahit+V
viegahit	viehkat+V
vihttalot	vihtta#logi+Num
viissástallat	viissástallat+V
visoš	viessu+N
visoš	viessut+V
visoš	visoš+N
vitsa	vitsa+N
vuhtodit	vuhtodit+V
vuhtodit	vuohttut+V
vuoiŋŋasteapmi	vuoigŋat+V
vuoiŋŋasteapmi	vuoiŋŋasteapmi+N
vuoiŋŋasteapmi	vuoiŋŋastit+V
vuojadit	vuodjat+V
vuojadit	vuojadit+V
vuolleliidda	vuolleliidda+Adv
vuostálaga	vuostálaga+Adv
vuostálaga	vuostálat+N
vuovssihit	vuoksi+N
vuovssihit	vuoksit+V
vuovssihit	vuovssihit+V
vuoššastit	vuoššastit+V
vurrolaga	vurrolaga+Adv
várrogasat	várrogas+A
várrogasat	várrogasat+Adv
áddestallat	áddestallat+V
áddestallat	áddet+V
ájahallat	ájahallat+V
árbmi	árbmi+N
árranit	árranit+V
áđđestallat	áđđestallat+V
áđđestallat	áđđet+V
čatnasit	čatnasit+V
šealggáhallat	šealggáhallat+V
čiekŋalas	čiekŋalas+N
čiekŋalassii	čiekŋalas+N
čiekŋalassii	čiekŋalassii+Adv
čippostit	čippostit+V
čoaggi	čoaggi+N
čoaggi	čoaggit+V
čoallit	čoallit+V
čohkkehit	čohkkehit+V
čohkkehit	čohkket+V
čorgestit	čorgestit+V
čorgestit	čorget+V
čuggestit	čuggestit+V
čuggestit	čugget+V
čuoigát	čuoigat+V
čuoigát	čuoigi+N
čuoigát	čuoigát+V
čuojaheaddji	čuodjat+V
čuojaheaddji	čuojaheaddji+N
čuojaheaddji	čuojahit+V
čuoččahit	čuočča+N
čuoččahit	čuoččahit+V
čábbudit	čábbudit+V
čálašit	čálašit+V
