ánnuitehtadoaba	1. annuitetsbegrep;  
geavahuskántovra	1. forbrukerkontor;  
traktuvra	1. traktor;  
sektuvra	1. sektur;  
sámikultuvra	1. samekultur;  
personalkantuvra	1. personalkontor;  
guovllokantuvra	1. distriktskontor;  2. regionskontor;  
ovdakontuvra	1. forkontor;  
kántuvra	1. kontor;  
gielddakántuvra	1. kommunekontor;  
riekteveahkkekántuvra	1. rettshjelpskontor;  
sosiálkántuvra	1. sosialkontor;  
oadjokántuvra	1. trygdekontor;  
doavttirkántuvra	1. legekontor;  
doaktárkántuvra	1. legekontor;  
guovllukántuvra	1. distriktskontor;  2. regionskontor;  
refleksa	1. refleks;  
ohcanrefleksa	1. søkerefleks;  
njammanrefleksa	1. sugerefleks;  
čárvenrefleksa	1. griperefleks;  
asfáltamastriksa	1. asfaltmastriks;  
asfáltamastiksa	1. asfaltmastiks;  
sisbuksa	1. underbukse;  
interferensa	1. interferens;  
kompetensa	1. kompetanse;  
nonmobiliteahta	1. nonmobilitet;  
plákahta	1. plakat;  
bálvalusappárahta	1. serviceapparat;  
intranehta	1. intranet;  
internehta	1. internet;  
femininitehta	1. femininitet;  
subsidiáritehta	1. subsidiaritet;  
ánnuitehta	1. annuitet;  
ovdaánnuitehta	1. forskuddsannuitet;  
maŋŋeánnuitehta	1. etterskuddsannuitet;  
diehtemeahtunvuohta	1. uvitenhet;  
vuostelasvuohta	1. konflikt;  
bealatkeahtesvuohta	1. ugildhet;  
luoddearrolihkuhisvuohta	1. vegkryssulykke;  
dearpannanosvuohta	1. bankefasthet;  
loaktinnanosvuohta	1. slitestyrke;  
ivdnádatvuohta	1. kulørthet;  
pantavuoigatvuohta	1. panterett;  
reálgelbbolašvuohta	1. realkompetanse;  
njalagálašvuohta	1. evighet;  
fáktágirjjálašvuohta	1. dokumentarlitteratur;  
bazahanruhta	1. pengeavsetning;  
čuokkissveisenapparáhta	1. punktsveiseapparat;  
ákta	1. ve;  
liekkasrasttidankoeffisieanta	1. varmegjennomgangskoeffisient;  
kvotienta	1. kvotient;  
nota	1. nota;  
návsta	1. naust;  
badjeldeatta	1. overtrykk;  
learretta	1. lerret;  
