fuođđuorgána	n	småviltorgan	n
timiána	n	timian	n
strategiijaplána	n	strategiplan	m
detáljaplána	n	detaljplan	m
dásseárvodoaibmaplána	n	likestillingsplan	m
prošeaktaplána	n	prosjektplan	m
johtalussihkkarvuođaplána	n	flyttesikkerhetsplan	m
sámediggeplána	n	sametingsplan	m
sámedikkeplána	n	sametingsplan	m
giliplána	n	tettstedsplan	m
viiddidanplána	n	utvidelsesplan	m
ovddidanplána	n	utviklingsplan	m
dutkanplána	n	forskingsplan	m
ovdánanplána	n	utviklingsplan	m
hálddašanplána	n	administrasjonsplan	m
gáhttenplána	n	overvåkingsplan	m
álgoplána	n	oppstartsplan	m
boazodoalloplána	n	reindriftsplan	m
kulturviessoplána	n	kulturhusplan	m
kulturmuitoplána	n	kulturminneplan	m
dásseárvoplána	n	likestillingsplan	m
kulturplána	n	kulturplan	m
mátkkoštusealáhusplána	n	reiselivsnæringsplan	m
mátkkoštusplána	n	reiselivsplan	m
máŋggageavatplána	n	flerbruksplan	m
tulipána	n	tulipan	m
tulpána	n	tulipan	m
platána	n	platan	n
teleskohpa	n	teleskop	n
stetoskohpa	n	stetoskop	n
biotohpa	n	biotop	m
cealkkaoahppa	n	syntaks	m
giellaoahppa	n	grammatikk	m
vuohkeoahppa	n	metodelære	f
hálddahusoahppa	n	administrasjonslære	f
jietnadatoahppa	n	lydlære	f
servodatoahppa	n	samfunnsfag	n
servvodatoahppa	n	samfunnsfag	n
atmosfeara	n	atmosfære	f
átmosfeara	n	atmosfære	f
troposfeara	n	troposfære	f
stráhtosfeara	n	stratosfære	f
trillabora	n	trillebår	f
meteora	n	meteor	m
aktora	n	aktør	m
faktora	n	faktor	m
direktora	n	direktør	m
instruksa	n	instruks	m
ekonomiijainstruksa	n	økonomiinstruks	m
telefáksa	n	telefaks	m
paratáksa	n	paratakse	n
syntáksa	n	syntaks	n
fonotáksa	n	fonotaks	n
hypotáksa	n	hypotakse	n
interfereansa	n	interferens	m
vuosttašpoteansa	n	førstepotens	m
eksisteansa	n	eksistens	m
telekonferánsa	n	telekonferanse	m
parlamentarihkkárkonferánsa	n	parlamentarikerkonferanse	m
substánsa	n	substans	m
restánsa	n	restanse	m
resistánsa	n	resistans	m
tuberkulosa	n	tuberkulose	m
virgeresursa	n	stillingsressurs	m
guohtonresursa	n	utredningsressurs	m
guohtunresursa	n	ressurs	m
hálddahusresursa	n	administrasjonsressurs	m
luondduresursa	n	naturressurs	m
sakrameanta	n	sakrament	n
testameanta	n	testamente	n
elemeanta	n	element	n
musihkkaelemeanta	n	musikkelement	n
komplemeanta	n	komplement	n
semeanta	n	sement	n
fápmudusendossemeanta	n	mandatendossement	n
justiisadepartemeanta	n	justisdepartement	n
industridepartemeanta	n	industridepartement	n
sisdepartemeanta	n	kommunaldepartement	n
sedimeanta	n	sediment	n
eksperimeanta	n	eksperiment	n
kommeanta	n	kommentar	m
momeanta	n	moment	n
argumeanta	n	argument	n
plánadokumeanta	n	plandokument	n
áššedokumeanta	n	saksdokument	n
áššidokumeanta	n	saksdokument	n
stivrendokumeanta	n	styredokument	n
váldodokumeanta	n	hoveddokument	n
bargodokumeanta	n	arbeidsdokument	n
vuođđodokumeanta	n	grunndokument	n
instrumeanta	n	instrument	n
eksponeanta	n	eksponent	m
reanta	n	rente	f
akseanta	n	aksent	m
penšunproseanta	n	pensjonsprosent	m
pateanta	n	patent	n
foanta	n	font	m
studenta	n	student	m
konsulenta	n	konsulent	m
testamenta	n	testamente	n
departementa	n	departement	n
guovlodepartementa	n	kommunaldepartement	n
guovludepartementa	n	kommunaldepartement	n
momenta	n	moment	n
sáhkarmenta	n	sakrament	n
lasseargumenta	n	tilleggsargument	n
dokumenta	n	dokument	n
arkiivadokumenta	n	arkivdokument	n
instrumenta	n	instrument	n
trasenta	n	trasent	m
