riikkabeaivi ___ n ___ riksdag
riikastivra ___ n ___ regjering
guovddašbellodat ___ n ___ senterparti
fylkkamánna ___ n ___ fylkesmann
ođđadárogiella ___ n ___ nynorsk
lensmánni ___ n ___ lensmann
stuoradiggi ___ n ___ stortinget
sosialhoavda ___ n ___ sosialsjef
rádjeofelaš ___ n ___ grenselos
rekláma ___ n ___ reklame
plánabargu ___ n ___ planarbeid
muslima ___ n ___ muslim
leavgabeaivi ___ n ___ flaggdag
guovllukommišuvdna ___ n ___ områdekonvensjon
eanandoallodepartementa ___ n ___ landbruksdepartement
ealgabeana ___ n ___ elghund
duodjeinstituhtta ___ n ___ duodjiinstitutt
bálda ___ n ___ kveite
byrokráhta ___ n ___ byråkrat
sámiskuvla ___ n ___ sameskole
nuoraidsearvi ___ n ___ ungdomsforbund
girjeráidu ___ n ___ bokserie
ealgabivddus ___ n ___ elgjakta
badjealmmái ___ n ___ reindriftssame
válgabeaivi ___ n ___ valgdag
sámenuorra ___ n ___ sameungdom
ovdalgaskabeaivi ___ n ___ formiddag
nuoraidorganisašuvdna ___ n ___ ungdomsorganisasjon
lohkkiidčálus ___ n ___ leserbrev
hášša ___ n ___ hasj
fylkasuohkan ___ n ___ fylkeskommune
duopmogirku ___ n ___ domkirke
boazodoalohálddahus ___ n ___ reindriftsadministrasjon
čilgen ___ n ___ forklaring
skuvllamánná ___ n ___ skolebarn
nominašunčoahkkin ___ n ___ nominasjonsmøte
musihkkafeastivála ___ n ___ musikkfestival
mearraguovlu ___ n ___ havområde
kvena ___ n ___ kven
kruvdna ___ n ___ krone
čáhcealmmái ___ n ___ vannmannen
sohkabealle ___ n ___ kjønn
rádjaguovlu ___ n ___ grenseområde
riikkamedia ___ n ___ riksmedia
koahkka ___ n ___ kokk
juovlabeavdi ___ n ___ julebord
sisbandy ___ n ___ innebandy
olmmáiolmmoš ___ n ___ mannsperson
filbmafeastivála ___ n ___ filmfestival
suohkanválga ___ n ___ kommunevalg
ovdabargu ___ n ___ forarbeid
náitaleapmi ___ n ___ giftemål
sávzaboanda ___ n ___ sauebonde
rockjoavku ___ n ___ rockegruppe
pássa ___ n ___ psss
geassebargu ___ n ___ sommerjobb
bargokántuvra ___ n ___ arbeidskontor
váldooassi ___ n ___ hovedsak
viessobáŋku ___ n ___ husbank
sosialkantuvra ___ n ___ sosialkontor
skohtercrossa ___ n ___ skotercross
ráđđeláhttu ___ n ___ rådsmedlem
politimeašttir ___ n ___ politimester
politiguovlu ___ n ___ politidistrikt
plánalávdegoddi ___ n ___ planutvalg
originála ___ n ___ original
goahkka ___ n ___ kokk
arkeologa ___ n ___ arkeolog
šovv ___ n ___ show
oahpahusdepartemeanta ___ n ___ utdanningsdepartement
nuoraidprográmma ___ n ___ ungdomsprogram
musihkkabálkkašupmi ___ n ___ musikkpris
loddeinfluensa ___ n ___ fugleinfluensa
kulturkantuvra ___ n ___ kulturkontor
iežasoassi ___ n ___ egenandel
friddjajoavku ___ n ___ frigruppe
dispa ___ n ___ disp
sámemusea ___ n ___ samemuseum
sis-eanan ___ n ___ innland
kulturkántuvra ___ n ___ kulturkontor
kapellána ___ n ___ kapellan
báikkálašsearvi ___ n ___ lokalforening
boazodoallonisu ___ n ___ reindriftskvinne
