  92 ealáhusráđđi
  92 buohccidivššár
  92 beaiveruoktu
  92 agibeaivi
  91 preassagovva
  91 diva
  91 beassášfestivála
  90 suomabealle
  90 leansmánnibálvá
  90 gárrenmirku
  90 guđđa
  90 cuiggodit V* TV Der2 Der/eapmi
  90 boazosuohkan
  90 1970-lohku
  89 čáhceolmmái
  89 tv
  89 show
  89 servodateallin
  89 ruktu
  89 márkosápmi
  89 deaivvadanbáiki
  89 billistit V* TV Der2 Der/eapmi
  88 russa
  88 orrun
  88 ollesáigi
  88 oktasašbargu
  88 hálli
  88 giellanjuolggadus
  88 fosfora
  88 dulvadeapmi
  88 diehtemeahttunvuohta
  88 ambulánsa
  87 čállinvuohki
  87 čuđđi
  87 Östby
  87 váldosivva
  87 valáštallat V* IV Der2 Actor
  87 soaittáhat
  87 lagamuš
  87 kapealla G3
  87 jurddašanvuohki
  87 fuorragávppašeapmi
  87 dáhpáhuvvat V* IV Der3 Der/n
  87 diggeášši
  87 boazobargu
  87 badjemánná
  86 čiegusvuohta
  86 video
  86 sávvat V* TV Der3 Der/n
  86 mátkkoštit V* IV Der2 Actor
  86 mk
  86 kulturbálkkašupmi
  86 hálddašanorgána
  86 1800-lohku
  85 árvvoštallat V* TV Der2 Actor
  85 vázzi
  85 vuostá N* Der1 Der/Dimin
  85 vuosti N* Der1 Der/Dimin
  85 stuorradiggeáirras
  85 spábbačiekčanlihttu
  85 gilu
  84 vuotnaguovlu
  84 vuorbádit V* TV Der2 Der/eapmi
  84 vuoigatvuođaášši
  84 sámegieloahpahus
  84 ođasmahttit V* TV Der3 Der/n
  84 ovttadássásašvuohta
  84 oažžun
  84 nuppástuhttit V* TV Der2 Actor
  84 nuorravuohta
  84 bargoeallin
  83 olgoriikalaš
  83 direktora
  83 bargoskibir
  82 vuođđudus
  82 muitokonsearta
  82 hálla G3
  82 fylkkadoavttir
  82 eananvuoigatvuohta
  81 álgoálbmotvuoigatvuohta
  81 álbmotlihttu
  81 áigečála
  81 stuoradiggeáirras
  81 mátkkoštit V* IV Der2 Der/eapmi
  81 illástit V* TV Der2 Der/eapmi
  81 eananeaiggát
  81 deatnulaš
  80 vuostálastit V* TV Der3 Der/n
  80 unnidit V* TV Der2 Der/eapmi
  80 sárgun
  80 oaggun
  80 lesba
  80 lagasradio
  80 jurddašit V* TV Der2 Der/eapmi
  80 journalistaoahppu
  80 investeren
  80 boazobargi
  79 nuppástit V* TV Der2 Actor
  79 guoskat V* IV Der2 Actor
  79 fágasuorgi
  79 fágareive
  79 báhpasuohkan
  78 čielggadus
  78 álgoálgu
  78 vuolli
  78 proavás
  78 nuoraidlávdegoddi
  78 njoarosteapmi
  78 luondduhálddašeapmi
  78 lagasbiras
  78 duiskalaš
  78 dadjat V* TV Der3 Der/n
  78 bovdehus
  77 álggahit V* TV Der2 Actor
  77 veterána
  77 riegádeapmi
  77 plakáhta
  77 nealgudeaddji
  77 kilomehtar
  77 galledeapmi
  77 divodit V* TV Der2 Der/eapmi
  76 vieljaš
  76 juovlabassi
  75 čájehit V* TV Der2 Der/eapmi
  75 sámeministtar
  75 sálla
  75 sukseassa
  75 sirdit V* TV Der2 Actor
  75 sihkkarvuohta
  75 ruhtačoaggin
  75 ođasmahttit V* TV Der2 Actor
  75 opmodatsirdin
  75 olgešbellodat
  75 jáhkkit V* TV Der2 Actor
  75 heaittihit V* TV Der2 Der/eapmi
  75 guovddášbellodat
  74 sámemusihkka
  74 ruvdna
  74 kulturministtar
  74 kulturdeaivvadeapmi
  74 girjelágádus
  74 fárren
  74 eallindilli
  74 dállodoallu
  74 bargobáiki
  73 váldogiella
  73 ságajođiheaddji
  73 spábbačiekčanšillju
  73 ođassátta
  73 orohatjuohkin
  73 muitalit V* TV Der2 Der/eapmi
  73 láhttet V* IV Der3 Der/n
  73 luonddugáhttet V* TV Der3 Der/n
  73 jorgalit V* TV Der2 Der/eapmi
  73 eanadoalloministtar
  73 dearvvašvuođabálvalus
  72 sirkus
  72 loahppaboahtu
  72 guorra
  72 cavgilit V* TV Der2 Der/eapmi
  72 bargoustit
  71 linjjá
  71 glássa
  71 diktagirji
  71 boazonjuovahat
  70 šilta
  70 válgastivra
  70 vákta
  70 vuordit V* TV Der2 Actor
  70 sámegilli
  70 stivret V* TV Der3 Der/n
  70 spábbačikčiekči
  70 moallabáhčči
  70 materiála
  70 luossajohka
  70 kulturdoallu
  70 journalistasearvi
  70 dálveguohtun
  70 badjelassa
  69 vázzin
  69 tittel
  69 skuvlejupmi
  69 servodatviessu
  69 joatki
  69 guolástusministtar
  69 girkogárdi
  69 gaskkamuddu
  69 dáhkki
  68 váikkuheapmi
  68 vuoiŋŋalaš A* Der3 Der/vuohta
  68 sponsor
  68 seastit V* TV Der3 Der/n
  68 ruovttujoavku
  68 norggabealle
  68 mearre
  68 kulturbargi
  68 klubba
  68 hálddáhus
