luossajahki ___ n ___ 
kulturváldolávdegoddi ___ n ___ 
kulturforum ___ n ___ 
jahkedoaibma ___ n ___ 
gárigasnjárga ___ n ___ 
giđđadulvi ___ n ___ 
elemeanta ___ n ___ 
camping ___ n ___ 
cabaret ___ n ___ 
bázáhus ___ n ___ 
bearralváhki ___ n ___ 
aborigiidna ___ n ___ 
álgojahki ___ n ___ 
vuođđohálddašanorgána ___ n ___ 
vuolledássi ___ n ___ 
tsunami ___ n ___ 
speallan ___ n ___ 
politibálvá ___ n ___ 
party ___ n ___ 
olmmošvierru ___ n ___ 
oahpaheaddjeoahppu ___ n ___ 
lávlunoassi ___ n ___ 
lodden ___ n ___ 
lihkkoluossa ___ n ___ 
leksikon ___ n ___ 
hupma ___ n ___ 
gállánuorra ___ n ___ 
dovdamuš ___ n ___ 
doarru ___ n ___ 
distrikta ___ n ___ 
cohkolat ___ n ___ 
buhtadusgáibádus ___ n ___ 
bearráigeahččan ___ n ___ 
bargoguovddáš ___ n ___ 
aids ___ n ___ 
ása ___ n ___ 
váruhus ___ n ___ 
váldoovddasvástádus ___ n ___ 
vovdna ___ n ___ 
vearrodahku ___ n ___ 
teáhterjoavku ___ n ___ 
testameanta ___ n ___ 
suohkanstivračoahkkin ___ n ___ 
spesialista ___ n ___ 
sisabáhkken ___ n ___ 
san-álbmot ___ n ___ 
ovdasvástádus ___ n ___ 
olmmošgoddi ___ n ___ 
nuoraidbláđđi ___ n ___ 
musihkkagilvu ___ n ___ 
miellaláhki ___ n ___ 
láhkarievdadus ___ n ___ 
kulturášši ___ n ___ 
kulturdepartementa ___ n ___ 
kilu ___ n ___ 
jápminduopmu ___ n ___ 
jeageleanan ___ n ___ 
illubeaivi ___ n ___ 
gávpealmmái ___ n ___ 
guovddášráđđehus ___ n ___ 
gránnjá ___ n ___ 
geassegilvu ___ n ___ 
eaŋgalsgiella ___ n ___ 
earánoapmi ___ n ___ 
eamiálbmotášši ___ n ___ 
dálveguohtuneanan ___ n ___ 
divvunprográmma ___ n ___ 
davvi-norga ___ n ___ 
badjenisu ___ n ___ 
1900-lohku ___ n ___ 
čalbmeláse ___ n ___ 
váikkuhanváldi ___ n ___ 
vuollevuovdi ___ n ___ 
viežžan ___ n ___ 
sámiradio ___ n ___ 
sámerádio ___ n ___ 
sámenieida ___ n ___ 
stáhtačállin ___ n ___ 
stadioncrossa ___ n ___ 
soaitin ___ n ___ 
smávvadálolaš ___ n ___ 
skohtervuodjin ___ n ___ 
singel ___ n ___ 
sarva ___ n ___ 
rássešillju ___ n ___ 
ruvdnoprinsa ___ n ___ 
rasista ___ n ___ 
olgoriikkaministtar ___ n ___ 
olbmáguovttos ___ n ___ 
nissonorganisašuvdna ___ n ___ 
márkanguovddáš ___ n ___ 
manager ___ n ___ 
levgen ___ n ___ 
heaksá ___ n ___ 
gárrenolmmoš ___ n ___ 
gáiddusoahpahus ___ n ___ 
guollenálli ___ n ___ 
gohču ___ n ___ 
girkosiida ___ n ___ 
girječállin ___ n ___ 
girjebeaivi ___ n ___ 
fakultehta ___ n ___ 
eamiálbmotforum ___ n ___ 
ealáhusorganisašuvdna ___ n ___ 
delegáhtta ___ n ___ 
campingvovdna ___ n ___ 
buhtadusortnet ___ n ___ 
bidju ___ n ___ 
atnin ___ n ___ 
albmáguovttos ___ n ___ 
čalmmusteapmi ___ n ___ 
árvokommišuvdna ___ n ___ 
váldoorganisašuvdna ___ n ___ 
