ovttaoaivil
álas
ráđđejeaddji
pakistána
ovttasullasaš
našunálalaš
láhkásaš
lágaheapme
lujávrrelaš
kurdalaš
jierpmeheapme
inhabila
háváš
hávskkes
hollándalaš
guovttelágán
geaseheapme
fuollameahttun
fundamentalisttalaš
etnálaš
duhtadahtti
dolkadahtti
skandinávalaš
rájeheapme
ráhkislaš
ovttaheapme
oaivveheapme
negatiivalaš
moderáhta
moalas
inteansa
inkompeteanta
iešguđetgelágán
hága
guollái
gesii
gealbboheapme
erenoamán
ekologálaš
eahperealistalaš
eahpeoskkolaš
bealleálás
bealgoalmmát
antropologalaš
alladássásaš
čábba
árvitmeahttun
vástevaš
unnitgielat
tuvalaš
serbálaš
persovnnálaš
modearna
lotkat
iešráhkaduvvon
iešbuorre
humánalaš
gælalaš
guovlluguovdasaš
fuomášahtti
fiktiiva
fearalágan
eahpeduhtavaš
čuovvuvaš
čigŋái
čemihkalaš
áigahaš
áidnalunddot
varrái
sosiala
soft-gun
snáhpis
sealgil
rábmái
riikkasaš
posetiiva
obmui
namakeahtes
máinnolmas
muhtunlágán
meksikána
logaheapme
logahahtti
konstitušunealla
iešválddálaš
hyperaktiiva
heahpatmeahttun
gulus
guhkesjuolggat
geanuheapme
fiberoptihkalaš
eretcealkkehahtti
elektronalaš
eahpemorálalaš
deatalaš
boagustahtti
arktálaš
allamielalaš
čuvgesalit
šihttui
sáhkat
suttis
snáhppil
servvolaš
seagas
rytmálaš
ruojus
ruhtaáŋgir
psykohtalaš
progressiiva
polska
ovddasvástáduslaš
oahppil
nuortariikalaš
naššuvnnalaš
meteorologalaš
logalaš
jieris
ivttáš
ideologálaš
hirpmástahtti
gabbagirjjat
eŋgelasgiel
evangelalaš
erohtalaš
egyptalaš
dárogiel-sámegiel
dulvvis
dobbelaš
digitálalaš
bajáš
čájeheaddji
čáhcejeahkki
čáhccái
čuvgesruoksat
áđat
áicil
vuoŋis
vuosttašluohkkálaš
vuoimmeheapme
vehkkii
vearoheapme
sámegiel-dárogiel
spontána
rojas
reálisttalaš
oskkáldasmeahttun
oasseáigásaš
nuoraidpsykiátralaš
máŋggageardán
máttasámegiel
muhtinlágán
maorigiel
loses
loahppameahttun
kosovo-albanalaš
ipmilbalolaš
inhabiila
impulsiiva
hálddatlaš
humuheapme
historjálaš
hilján
golmmabeaivásaš
gierdil
geađgái
geahčemeahttun
fitmat
ekstremisttalaš
eavttoheapme
eatnigiel
eatnanlaš
ealit
eahpepolitihkalaš
dárbbalaš
duollat
diibmobeallásaš
buolvvat
autonomalaš
ahkkái
ahkahaš
áitosaš
váivváš
vuoksái
viivvuheapme
sátnerikkis
sámigiel
suvdil
suorgái
steriila
steaččas
soameheapme
snoalus
skuvttár
skuhttár
skottálaš
siđas
siskkildas
sexualálaš
sentimentála
seksuálaš
sealggaheapme
ruovttuheapme
ruosti
runta
románttalaš
roava
rikkas
restriktiiva
puritánalaš
parlamenttalaš
ovttabealálaš
ovdamearkkalaš
orientálalaš
oranša
olympalaš
oaivvesnaga
nuortalaš-sámegiel
nubbingiel
máŋggafágalaš
mystihkalaš
militánta
mentálalaš
lámas
lissu
leabuheapme
lagabuš
kránto
klimáhtalaš
kina
jáhkihahtti
julmmut
jienalaš
ipmirdeaddji
internašonála
iežaslágan
hápmásaš
hypotehtalaš
hehttejeaddji
heakkalaš
heaboheapme
guovttebealát
guhkolaš
greikkalaš
gohtolaš
goargat
gilleš
geatnegasasat
gavri
fleksi
fearalágán
elegánta
egoisttalaš
effektiiva
eaŋgalsgiel
ealjoheapme
dilsi
cakkas
buotbeallásaš
boaresmállet
bealát
bealguđat
augsburgalaš
arábalaš
amasgielat
aggressiiva
addevaš
absurda
čázeheapme
čogas
čoavjjeheapme
šlárvvas
čilgemeahttun
čabo
ávvirmeahttun
ávda
árvvuheapme
árjjaheapme
vástesaš
válljugas
váillat
vuotnalaš
vuoiggameahttun
vašán
ultrafioleahtta
tiibmosaš
tibehtalaš
sáneheapme
ságaheapme
surgatlaš
suojis
stiivvis
sovjehtalaš
sosiálademokráhtalaš
sonas
sojaheapme
servodatdieđalaš
seismalaš
seagus
ránskalaš
ruossalas
ruhtaváibmil
rohppái
roavvas
reella
profišunealla
profehtalaš
palestinalaš
ovttageardásaš
ovttagaslaš
ovdáneaddji
orgánalaš
ollesáigásaš
olggumuš
oassálaš
oanehisáigásaš
nøytrála
norggalaš
njávval
nealggas
našunalisttalaš
navggas
mášiinnalaš
máhtuheapme
moattelágan
moaittat
mirkkolaš
mieđis
meksikánalaš
mearridanválddálaš
majestehtalaš
lullisámegiel
lujávrilaš
lokála
kruvdnosaš
kosmehtalaš
komiska
kievra
jurddalaš
joraheapme
ivnneheapme
ipmilaš
ii-sápmelaš
iešoahppan
iešnammaduvvon
ievttáš
hálaheapme
háittis
hudju
helssetlaš
heakkaváralaš
heahkas
guovttesuorat
guoskkaheaddji
guorahallameahttun
golmmaoasat
goavis
girkkis
gilles
gielddasámegiel
generealla
gassosaš
fysálaš
fysikálalaš
eksperimentála
eaŋgas
eahperehalaš
eahpeprofešunealla
eahpelihkolaš
eahpegierdevaš
eahpeduohta
eahpedorvvolaš
dábálašoahpaheaddji
duddjojeaddji
deahtis
buotdiehtti
buohkanas
biškat
bearas
bealviđát
bealnjealját
bastteheapme
baltalaš
austrálialaš
animálalaš
allajoccat
alfabehtalaš
Helander-nammasaš
čállingiel
čáhppesalit
čáhkkil
čuoikái
čuohtegeardásaš
šlunddas
šluhtu
šlihtu
šerresivnnat
čađačalmmat
šatteš
čabu
árpmoheapme
áivan
áigáiheivvolaš
áiggeheapme
válddeheapme
vuođuheapme
vuolleárvosaš
vuojus
vuoigatlaš
viessi
viesas
vearrogeatnegas
vearjogeatnegas
unnačalmmat
ulbmálaš
sárdnái
sádnái
suvdi
superristtalaš
suovvil
suovat
suopmelaš-ugralaš
suddil
stánžžas
speallansorjavaš
spalccas
sosiologalaš
soameslágan
soajeheapme
skáddjil
skihkaheapme
sevdnjesvarat
senila
selggolassii
seađas
sealggálas
rámssas
ruoššagiel
ruolla
rukseslágan
ruksesivnnat
reahalaš
portugisalaš
paradoksála
ovttabealát
oruhahtti
orientála
ollisjierpmat
oktiigullevaš
oktalaš
oastil
oaseheapme
oaddi
nášunálalaš
nuortalašgiel
nuommir
nubbingielat
njáiggos
njuohcci
máinnalmas
morris
miholaš
mearridanfámolaš
láittehahtti
luonddudilálaš
logihkalaš
loaččat
livttis
lihkkos
lahkkálas
kruvdnasaš
klinalaš
kaurnagiel
kardinála
juvssahahtti
juvdu
juovvái
jozzái
jierpmiheapme
jienaheapme
islámalaš
ironálaš
ipmillaš
iešoaivválaš
iešheanálaš
hámeheapme
hysteralaš
homoseksuála
heavskái
hearvás
gásttas
gálus
gálmmas
guovttejuvllat
guhkedáleš
gudneheapme
golmmageardán
girjeloguheapme
gilddas
gierddoheapme
gieldalaš
geassil
geaiddus
garuheapme
garralágán
galbmavarat
fysikála
feministtalaš
eksotihkalaš
eaŋgalasgiel
eavttuheapme
eatniheapme
eatneheapme
eanadieđalaš
eahpeárbevirolaš
eahpeorgánalaš
eahpenjuolgguslaš
eahpeluohtehahtti
eahpehistorjjálaš
eahpegovttolaš
eahpedoaimmalaš
dynamalaš
duskkas
duhátgeardásaš
duháhat
doarespolitihkkalaš
doabalaš
depressiiva
davvi-sámegiel
cealkemeahttun
buorrendoalli
buorredohkálaš
birrajahkásaš
biekkus
bealledahkkon
basttoheapme
barggukeahtes
balddehahtti
bajitdási
bahkat
badjellunddolaš
badjelfámolaš
babylonalaš
anuheapme
amasgiel
akuhtta
aktasaš
adni
čázevuloš
čálakeahtes
čáhppesvielgat
šuvgil
čuvgetmeahttun
čuvgeslágán
čuovggaheapme
čuohteruvdnosaš
čuohtejahkásaš
čuoddjil
čuo
šovkesliikkat
čorgatmeahttun
čoavdemeahttun
čoahkkat
šlávas
čielggeheapme
šattot
šallat
šalkkas
ávkkiheapme
ássameahttun
árjjeheapme
áiggáš
áidnalunddosaš
áddejeaddji
vátnačalmmat
váldeváillat
válddiheapme
váimmuheapme
váimmoheapme
vuosttašgiel
vuorukeahtes
vuoraslágán
vuollálas
vuollis
vuolitárvosaš
vuoitil
vuoimmalaš
vuodjagoalki
vulkánalaš
vilppas
vilgesvuovttat
vilgesoaivvat
vilgesalit
vilddus
viidnejuhkki
vierisgielat
veahkat
veaddji
varraruoksat
varaheapme
ulbmildiđolaš
uhcánaš
tuvala
tuolloheapme
tullut
tropalaš
trolahis
territoriála
tematalaš
sámegielnammasaš
sámegiel-ruoššagiel
sábmái
suorttas
suopmelašugralaš
suomagielalaš
suohpáheapme
suoddjái
stuorra
stoahkkái
stivrraheapme
stilistalaš
stereotiippalaš
stađđil
stahtalaš
spálččas
speaččas
sosiálapolitihkalaš
sosiáladarwinistalaš
sorjjas
sorjankeahtes
soiddas
soahtelámis
snavggas
smávvalágán
smierru
smađáhkis
slávalaš
skárppis
skuŋkkas
skuortnas
skuniheapme
skiluheapme
skievttaheapme
sivakeahtes
siskkimus
sisbuoidi
simpal
silbaránis
siivolágan
sierragielat
siddjii
sevdnjesalit
seksualálaš
seavdda
seammásullásaš
seammasturrosaš
seammanammasaš
seammaguhkkosaš
seaibbeheapme
seahkálas
sahkuheapme
sagaheapme
ráđđenhálolaš
ráŋggáštusvuloš
ráđas
rávžžas
rávnnjeheapme
ráttas
rásisttalaš
ránesivnnat
ráinnasnálat
russolas
ruovttoheapme
ruostaruoksat
ruoppas
ruonálágan
ruohtis
rumašváillat
ruksesjuolggat
roahkkálas
riviheapme
ritmái
ristagas
rinččas
riiddalmas
rievdameahttun
rehelaš
regulára
regiovdnapolitihkalaš
radioaktiiva
rabasmielalaš
problemáhtalaš
populára
ožžoš
ođđa-dárogiel
ortopedalaš
organisatovrralaš
olmmáilaš
olatmeahttun
oktageardásaš
oaččoheapme
oassesivalaš
oapme
oanehisáiggat
oanehissoajat
oanehisjuolggat
oamedovddoheapme
oainnoheapme
oahppavaš
nášuvnnála
nuortasámegiel
nuohtaheapme
nollas
njuolggaduslaš
njoaiddus
njealjegeardán
nevvot
neurologalaš
nervøsa
namahahtti
máttimuš
mytologalaš
muhtehahtekeahtes
monnái
moallái
miljárddat
mievkkis
mielsivalaš
miellasaš
mielaevttot
metaforalaš
meavrresgárelágan
mannosaš
láitemeahttun
láiddas
luvnnjas
luteralaš
luottaheapme
luohpi
luhtolaš
loškkas
loaččis
loaitu
lihkuheapme
lieggaváimmolaš
lieggavarat
leavvi
lastái
kyrillalaš
kymrigiel
kvantitatiiva
kronologalaš
kronalaš
kroavis
konstruktiivalaš
kommunála
komihkalaš
kirurgalaš
jámadeaddji
jáhkkarámas
juogakeahtes
jođuheapme
joavdil
joallu
jerggolaš
jassái
jaskatlaš
iras
imašlágán
ilgadit
ii-ávnnaslaš
ii-oahppil
ii-kristalaš
ii-formálalaš
ii-eaktodáhtolaš
iešráhkis
iešlágán
iešlágalaš
iešguhtetlágan
idealaš
hárjánmeahttun
háreheapme
hypera
huvddalaš
hurvi
hohppil
hoahpuheapme
historjjálaš-filosofálaš
historjjákeahtes
hirbmatlágán
hirbmatlaš
himuheapme
hierárkkalaš
hiegis
heilla
heavskkálaš
heava
hearddoheapme
hearcái
heailla
heaigomielat
gárkkis
gálvvas
gáirras
gáhtavaš
guotteheaddji
guolleboranis
guolgái
guokkas
greikkagiel
govdosaš
golmma-jahkásaš
goavrras
gieđaheapme
gieskadaš
gielistahkes
gielddasámigiel
giddat
gerolmas
germána
generella
gehpes
geađas
geasiheapme
geahčálas
gaskkasaš
gaskaneas
gahci
fáhkkat
fylkagieldalaš
fuođđi
funkšunála
friskkis
freestyla
fonehtalaš
fitnodatekonomálaš
filosofálaš
fiinnadovddolaš
figuratiiva
fearggaheapme
fantásttalaš
fanatihkalaš
etnologalaš
estlándalaš
erotihkalaš
ekumenalaš
ekstáhtalaš
eatnálaš
eatnatgeardásaš
eamiálbmotguoskevaš
eahpevárddus
eahpevuoigat
eahpestáđis
eahpestruktuvrralaš
eahpestabiila
eahpesosiála
eahpesiviila
eahperiekta
eahpereálisttalaš
eahpereálistalaš
eahperehelaš
eahpeparlamentáralaš
eahpeollislaš
eahpeoadjebas
eahpenášunálalaš
eahpenjuolgat
eahpemávssolaš
eahpemánnálaš
eahpemoralalaš
eahpelojála
eahpelogihkalaš
eahpekonkrehta
eahpejáhkihahtti
eahpehámolaš
eahpegánnáhahtti
eahpegulolaš
eahpegorrelaš
eahpeehtalaš
eahpedássit
eahpeduhtávaš
eahpedieđus
dáválaš
dánsullasaš
dánjagáš
dálvvas
dáidemeahttun
duolbat
duoddjái
dulán
duiskka-láhtengiel
dovdduheapme
dolá
dolos
doaŋggas
doaivvuheapme
divttes
dilkui
dieđateorehtalaš
dielvvis
destruktiiva
deavdemeahttun
dearvvašmeahttun
darvvas
darjjesámegiel
cymrugiel
collas
ceaikkas
bárbáralaš
báljesoaivvat
báldalas
buorrindoalli
buoritmeahttun
buleš
buhtismeahttun
borastuhkes
bohtas
boalbbas
boaittu
bivvil
bistteheapme
birgehahtti
biologálaš
biográfalaš
bihkkái
berosteaddji
beavkkas
bearrašiiguoskevaš
bealleatno
beallalas
barbáralaš
ballevaš
baleš
badjelmielat
ađaheapme
austrálalaš
anárašgiel
antirasisttalaš
antirasistalaš
analogalaš
amaslágán
alitčalmmat
alitvielgat
akusttalaš
Victoria-nammasaš
Terrat-nammasaš
Sámigiel
Suomagiel
Statskog-nammasaš
Schanche-nammasaš
Sakari-nammasaš
Rypa-nammasaš
Puhakka-nammasaš
Pajala-nammasaš
Oscar-nammasaš
Narve-nammasaš
Murmánska-nammasaš
Maurinammasaš
Katarina-nammasaš
Kaleva-nammasaš
Kaffegalleriet-nammasaš
Elkem-nammasaš
Eira-nammasaš
Dolly-nammasaš
Brennpunkt-nammasaš
Bismarck-nammasaš
