Engelasgiella	Suomagillii guhkes ja oanehaš (gáldu: Kotus)	Ruoŧagillii (utrikes namnbok, regeringen.se)	Dárogillii (bokmål). gáldu: Språkrådet)	Sámi GG mearkkašumit	Ávžžuhuvvon (dohkkehuvvon)		Sojaheapmi (Gen sing, ill sing)	Lassimearrádus	Čilgehus
Sao Tome and Principe	São Tomé ja Príncipe; São Tomé(n) ja Príncipen demokraattinen tasavalta	São Tomé och Príncipe; Demokratiska republiken São Tomé och Príncipe	São Tomé og Príncipe/Den demokratiske republikk São Tomé og Príncipe		São Tomé ja Príncipe	São Tomé ja Príncipe demokráhtalaš dásseváldi	São Toméi ja Príncipei/São Tomii ja Príncipii		
Saudi Arabia	Saudi-Arabia; Saudi-Arabian kuningaskunta	Saudiarabien; Konungariket Saudiarabien	Saudi-Arabia/Kongeriket Saudi-Arabia		Saudi-Arabia	 Saudi Arabia gonagasriika	Saudi-Arabia, Saudi-Arabiai		
Senegal	Senegal; Senegalin tasavalta	Senegal; Republiken Senegal;	Senegal;Republikken Senegal		Senegal	 Senegal dásseváldi	Senegal; Senegalii		
Serbia	Serbia; Serbian tasavalta	Serbien; Republiken Serbien	Serbia; Republikken Serbia	Srbija	Serbia	Serbia dásseváldi	Serbia, Serbiai		
Seychelles	Seychellit; Seychellien tasavalta	Seychellerna; Republiken Seychellerna	Seychellene;Republikken Seychellene		Seychellat	Seychellaid dásseváldi	Seychellaid, Seychellaide		
Sierra Leone	Sierra Leone; Sierra Leonen tasavalta	Sierra Leone; Republiken Sierra Leone	Sierra Leone; Republikken Sierra Leone		Sierra Leone	Sierra Leone dásseváld	Sierra Leone, Sierra Leonii/Sierra Leonii		
Singapore	Singapore; Singaporen tasavalta	Singapore; Republiken Singapore	Singapore; Republikken Singapore		Singapore	Singapore dásseváldi	Singapore, Singaporei/Singaporii		
Slovakia	Slovakia; Slovakian tasavalta	Slovakien; Republiken Slovakien	Slovakia; Den slovakiske republikk / Den slovakiske republikken	Slovensko	Slovakia	Slovakia dásseváldi	Slovakia, Slovakiai		Geahča beavdegirjji prinsihppamearrádusa
Slovenia	Slovenia; Slovenian tasavalta	Slovenien; Republiken Slovenien	Slovenia; Republikken Slovenia	Slovenija	Slovenia 	Slovenia dásseváldi	Slovenia, Sloveniai		
Solomon Islands	Salomonsaaret	Salomonöarna	Salomonøyene (også offisielt navn)		Salomonsullot	(maiddái almmolaš namma) 	Salomonsulluid, Salomonsulluide		
Somalia	Somalia; Somalian liittotasavalta	Somalia; Förbundsrepubliken Somalia;	Somalia; Republikken Somalia		Somalia	Somalia lihttodásseváldi	Somalia, Somaliai		
South Africa	Etelä-Afrika, Etelä-Afrikan tasavalta	Sydafrika; Republiken Sydafrika	Sør-Afrika; Republikken Sør-Afrika		Lulli-Afrihká/Mátta-Afrihká	 Lulli-Afrihká/Mátta-Áfrihká dásseváldi 	Lulli-Afrihká, Lulli-Afrihkái		
South Sudan	Etelä-Sudan:Etelä-Sudanin tasavalta	Sydsudan; Republiken Sydsudan	Sør-Sudan; Republikken Sør-Sudan		Lulli-Sudan	Lulli-Sudan dásseváldi	Lulli-Sudan, Lulli-Sudanii		
Spain	Espanja; Espanjan kuningaskunta	Spanien; Konungariket Spanien	Spania; Kongeriket Spania	España	Espánnja 	Espánnja gonagasriika	Espánnja, Espánnjai		
Sri Lanka	Sri Lanka; Sri Lankan demokraattinen sosialistinen tasavalta	Sri Lanka; Demokratiska socialistiska republiken Sri Lanka;	Sri Lanka; Republikken Sri Lanka el. Den demokratiske sosialistiske republikk Sri Lanka		Sri Lanka	Sri Lanka demokráhtalaš sosialisttalaš dásseváldi	Sri Lanka, Sri Lankai		
Sudan	Sudan; Sudanin tasavalta	Sudan; Republiken Sudan	Sudan; Republikken Sudan		Sudan	Sudan dásseváldi	Sudan, Sudanii		
Suriname	Surinam; Surinamen tasavalta	Surinam; Republiken Surinam	Surinam; Republikken Surinam		Suriname	Suriname dásseváldi	Surinam, Surinamei/Surinamii		
Syria	Syyria, Syyrian arabitasavalta	Syrien; Arabrepubliken Syrien	Syria; Den arabiske republikk Syria		Syria	Syria arabadásseváldi	Syria, Syriai		
Swaziland	Swazimaa; Swazimaan kuningaskunta	Swaziland; Konungariket Swaziland	Swaziland; Kongeriket Swaziland		Swazieana	Swazieatnama gonagasriika	Svazieatnama, Swazieatnamii		
Sweden	Ruotsi; Ruotsin kuningaskunta	Sverige; Konungariket Sverige	Sverige; Kongeriket Sverige	Sverige	Ruoŧŧa	Ruoŧa gonagasriika	Ruoŧa, Ruŧŧii		
Switzerland	Sveitsi; Sveitsin Valaliitto	Schweiz; Schweiziska edsförbundet	Sveits;Det sveitsiske edsforbund		Sveica	Sveicca vállelihttu	Sveicca,Sveicii		Šv jietna ii gávdno sátneálggus sámegielas. IIi Davviriikkainge jietnaduvvo šv. Danne  rievdaduvvui dát Sveican. Sátnegirjjiin ee Nickel/Sammalahti sátnegirjjis, čuožžu Sveitsan.
Tajikistan	Tadžikistan; Tadžikistanin tasavalta	Tadzjikistan; Republiken Tadzjikistan	Tadsjikistan; Republikken Tadsjikistan		Tažikistan	Tažikistan dásseváld	Tažikistan, Tažikistanii		
Thailand	Thaimaa; Thaimaan kuningaskunta	Thailand; Konungariket Thailand	Thailand; Kongeriket Thailand		Thaieana	Thaieana gonagasriika	Thaieatnama, Thaieatnamii		
Timor-Leste	Itä-Timor; Itä-Timorin demokraattinen tasavalta	Östtimor; Demokratiska republiken Östtimor	Øst-Timor;Den demokratiske republikk Øst-Timor	Durdnos suopman lulli?	Nuorta-Timor/ Lulli-Timor	Nuorta-Timor/Lulli-Timor demokráhtalaš dásseváldi	Nuorta-Timor, Nuorta-Timorii		
Togo	Togo; Togon tasavalta	Togo; Republiken Togo	Togo; Republikken Togo		Togo	Togo dásseváldi	Togo, Togoi		
Tonga	Tonga; Tongan kuningaskunta	Tonga; Konungariket Tonga	Tonga; Kongeriket Tonga		Tonga	Tonga gonagasriika	Tonga, Tongai		
Trinidad and Tobago	Trinidad ja Tobago; Trinidad(in) ja Tobagon tasavalta	Trinidad och Tobago; Republiken Trinidad och Tobago	Trinidad og Tobago; Republikken Trinidad og Tobago		Trinidad ja Tobago	Trinidad ja Tobago dásseváldi	Trinidad ja Tobago, Trinidadii ja Tobagoi		
Tunisia	Tunisia; Tunisian tasavalta	Tunisien; Republiken Tunisien	Tunisia; Republikken Tunisia		Tunisia	Tunisia dásseváldi	Tunisia, Tunisiai		
Turkey	Turki; Turkin tasavalta	Turkiet; Republiken Turkiet	Tyrkia; Republikken Tyrkia		Durka	Durkka dásseváldi	Durka, Durkii		
Turkmenistan	Turkmenistan	Turkmenistan	Turkmenistan (også offisielt navn)		Turkmenistan	(maiddái almmolaš namma) 	Turkmenistan, Turkmenistanii		
Tuvalu	Tuvalu	Tuvalu	Tuvalu (også offisielt navn)		Tuvalu	(maiddái almmolaš namma) 	Tuvalu, Tuvalui		
Uganda	Uganda; Ugandan tasavalta	Uganda; Republiken Uganda	Uganda; Republikken Uganda		Uganda 	Uganda dásseváldi	Uganda, Ugandai		
Ukraine	Ukraina	Ukraina	Ukraina (også offisielt navn)	Україна [ukraˈjina	Ukraina	(maiddái almmolaš namma) 	Ukrania, Ukrainai		
United Arabic Emirates	Arabiemiirikunnat; Yhdistyneet arabiemiirikunnat	Förenade arabemiraten	De forente arabiske emirater (også offisielt navn)		Ovttastuvvan arabaemiráhtat	(maiddái almmolaš namma) 	Arabaemiráhtaid, Arabemiráhtaide		
United Kingdom of Great Britain and Northern Ireland	Iso-Britannia ja Pohjois-Irlanti; Ison-Britannian ja Pohjois-Irlannin yhdistynyt kuningaskunta	Förenade kungariket; Förenade konungariket Storbritannien och Nordirland;	Storbritannia; Det forente kongerike Storbritannia og Nord-Irland	United Kingdom of Great Britain and Northern Ireland	Stuorra-Britannia/Stuora Británnia	Stuorra-Británnia ja Davvi-Irlándda ovttastuvvan gonagasriika	Stuorra-Brititannia, Stuorra-Britanniai		
United Republic of Tanzania	Tansania; Tansanian yhdistynyt tasavalta	Tanzania; Förenade republiken Tanzania	Tanzania; Forbundsrepublikken Tanzania		Tanzania	Tanzania ovttastuvvan dásseváldi	Tanzania, Tanzaniai		
United States of America	Yhdysvallat; Amerikan yhdysvallat	Förenta staterna; Amerikas förenta stater	USA; De forente stater el. Sambandsstatene		Ovttastuvvan stáhtat ~ USA		Ovttastuvvon stáhtat, Ovttastuvvon stáhtaide		
Uruguay	Uruguay; Uruguayn itäinen tasavalta	Uruguay; Republiken Uruguay	Uruguay; Republikken Uruguay		Uruguay	Uruguay dásseváldi	Uruguay, Uruguayii		
Uzbekistan	Uzbekistan; Uzbekistanin tasavalta	Uzbekistan; Republiken Uzbekistan	Usbekistan; Republikken Usbekistan		Uzbekistan	Uzbekistan dásseváldi	Uzbekistan, Uzbekistanii		
Vanuatu	Vanuatu; Vanuatun tasavalta	Vanuatu; Republiken Vanuatu	Vanuatu; Republikken Vanuatu		Vanuatu	 Vanuatu dásseváldi	Vanuatu, Vanuatui		
Venezuela, Bolivarian Republic of...	Venezuela; Venezuelan bolivariaaninen tasavalta	Venezuela; Bolivarianska republiken Venezuela	Venezuela; Republikken Venezuela		Venezuela; Venezuela bolivarlaš dásseváldi	Venezuela bolivarlaš dásseváldi	Venezuela, Venezuelai		Bolivarlaš čujuha persovdnii Simon Bolivarii, guhte lei okta gii vuođđudii riikka
Viet Nam	Vietnam; Vietnamin	Vietnam; Socialistiska republiken Vietnam;	Vietnam; Den sosialistiske republikk Vietnam		Vietnam	Vietnam sosialisttalaš dásseváldi	Vietnam, Vietnamii		
Yemen	Jemen; Jemenin tasavalta	Jemen; Republiken Jemen	Jemen; Republikken Jemen		Jemen	Jemen dásseváldi	Jemen, Jemenii		
Zambia	Sambia; Sambian tasavalta	Zambia; Republiken Zambia	Zambia; Republikken Zambia		Zambia	 Zambia dásseváldi	Zambia, Zambiai		
Zimbabwe	Zimbabwe; Zimbabwen tasavalta	Zimbabwe; Republiken Zimbabwe	Zimbabwe; Republikken Zimbabwe		Zimbabwe	Zimbabwe dásseváldi	Zimbabwe, Zimbabwei/Zimbabwii		
Holy See (Vatican) ~ Vatikána	Vaaikaani; Vatikaanivaltio	Heliga Stolen	Vatikanstaten (også offisielt navn)		Bassi stuollu/Vatikanstáhta		Bassi stuolu, Bassi stullui/Vatinaknstáhta/Vatikanstáhtii		
