Engelasgiella	Suomagillii guhkes ja oanehaš (gáldu: Kotus)	Ruoŧagillii (utrikes namnbok, regeringen.se)	Dárogillii (bokmål). gáldu: Språkrådet)	Sámi GG mearkkašumit	Ávžžuhuvvon (dohkkehuvvon)		Sojaheapmi (Gen sing, ill sing)	Lassimearrádus	Čilgehus
Hungary	Unkari	Ungern	Ungarn		Ungar	(maiddái almmolaš namma) 	Ungar, Ungarii		Akseanta a danne go gullá seamma giellajovkui go sámegiella. Ii leat nu boares loatna, danne ii leat dássemolsašupmi.
Iceland	Islannin tasavalta	Island; Republiken Island;	Island; Republikken Island		Islánda 	Islándda dásseváldi	Islándda, Islándii		
India	Intia; Intian tasavalta	Indien; Republiken Indien	India; Republikken India		India	India dásseváldi	India, Indiai		
Indonesia	Indonesia; Indonesian tasavalta	Indonesien; Republiken Indonesien	Indonesia; Republikken Indonesia		Indonesia	Indonesia dásseváldi	Indonesia, Indonesiai		
Iran (Islamic Republic of)	Iran; Iranin islamilainen tasavalta	Iran; Islamiska republiken Iran	Iran; Den islamske republikk Iran		Iran	Iran islamlaš dásseváldi	Iran, Iranii		
Iraq	Irak; Irakin tasavalta	Irak; Republiken Irak	Irak; Republikken Irak		Irak	Irak dásseváldi	Irak, Irakii		
Ireland	Irlanti	Irland	Irland (også offisielt navn)		Irlánda	(maiddái almmolaš namma) 	Irlándda, Irlándii		
Israel	Israel; Isrealin valtio	Israel; Staten Israel	Israel; Staten Israel		Israel	Israel stáhta	Israel, Israelii		
Italy	Italia; Italian tasavalta	Italien; Republiken Italien	Italia; Republikken Italia		Itália	Itália dásseváldi	Italia, Itáliai		
Jamaica	Jamaika	Jamaica	Jamaica (også offisielt navn)		Jamaica	(maiddái almmolaš namma) 	Jamaica, Jamaicai		
Japan	Japani	Japan	Japan (også offisielt navn)		Japan	(maiddái almmolaš namma) 	Japan, Japanii		
Jordan	Jordania; Jordanian hašemiittinen kuningaskunta	Jordanien; Hashemitiska konungariket Jordanien	Jordan; Det hasjimittiske kongerike Jordan		Jordania	Jordania hašimlaš gonagasriika	Jordania, Jordaniai		
